Designator,Mid X,Mid Y,Layer,Rotation
C1,159.050000,-112.300000,Top,0.000000
C2,167.300000,-113.550000,Top,0.000000
C3,118.480000,-127.250000,Top,0.000000
C4,126.230000,-126.000000,Top,0.000000
C5,73.950000,-135.000000,Top,0.000000
C6,81.950000,-135.000000,Top,0.000000
C7,89.950000,-135.000000,Top,0.000000
C8,97.950000,-135.000000,Top,0.000000
C9,105.950000,-135.000000,Top,0.000000
C10,73.950000,-141.500000,Top,0.000000
C11,81.950000,-141.500000,Top,0.000000
C12,89.950000,-141.500000,Top,0.000000
C13,97.950000,-141.500000,Top,0.000000
C14,105.950000,-141.500000,Top,0.000000
C15,173.810000,-142.500000,Top,0.000000
C16,182.060000,-143.750000,Top,0.000000
C17,190.810000,-170.250000,Top,0.000000
C18,159.050000,-179.500000,Top,0.000000
C19,167.300000,-180.750000,Top,0.000000
C20,176.050000,-182.250000,Top,0.000000
C21,186.050000,-179.500000,Top,0.000000
D1,172.300000,-105.400000,Top,0.000000
D2,73.500000,-199.800000,Top,0.000000
D3,85.720000,-199.800000,Top,0.000000
D4,97.940000,-199.800000,Top,0.000000
D5,110.160000,-199.800000,Top,0.000000
F1,160.450000,-104.950000,Top,0.000000
J1,165.080000,-87.550000,Top,0.000000
J2,77.450000,-93.730000,Top,-90.000000
J3,90.450000,-93.730000,Top,-90.000000
J4,103.450000,-93.730000,Top,-90.000000
J5,116.450000,-93.730000,Top,-90.000000
J6,201.600000,-209.105000,Top,90.000000
K1,73.900000,-183.600000,Top,0.000000
K2,84.300000,-183.600000,Top,0.000000
K3,94.700000,-183.600000,Top,0.000000
K4,105.100000,-183.600000,Top,0.000000
R1,85.800000,-105.300000,Top,0.000000
R2,100.560000,-105.300000,Top,0.000000
R3,115.320000,-105.300000,Top,0.000000
R4,130.080000,-105.300000,Top,0.000000
R5,73.500000,-119.500000,Top,0.000000
R6,88.260000,-119.500000,Top,0.000000
R7,103.020000,-119.500000,Top,0.000000
R8,117.780000,-119.500000,Top,0.000000
R9,132.540000,-119.500000,Top,0.000000
R10,73.500000,-126.000000,Top,0.000000
R11,88.260000,-126.000000,Top,0.000000
R12,103.020000,-126.000000,Top,0.000000
R13,170.900000,-121.800000,Top,0.000000
R14,185.660000,-121.800000,Top,0.000000
R15,200.420000,-121.800000,Top,0.000000
R16,158.600000,-136.000000,Top,0.000000
R17,173.360000,-136.000000,Top,0.000000
R18,188.120000,-136.000000,Top,0.000000
R19,202.880000,-136.000000,Top,0.000000
R20,158.600000,-142.500000,Top,0.000000
RV1,90.000000,-150.000000,Top,0.000000
RV2,122.000000,-150.000000,Top,0.000000
RV3,117.500000,-167.000000,Top,0.000000
RV4,149.500000,-167.000000,Top,0.000000
RV5,119.000000,-207.400000,Top,90.000000
SW1,75.400000,-207.400000,Top,0.000000
SW2,130.800000,-207.400000,Top,90.000000
SW3,145.800000,-207.400000,Top,90.000000
SW4,162.800000,-207.400000,Top,90.000000
SW5,179.800000,-207.400000,Top,90.000000
U1,73.550000,-105.350000,Top,0.000000
U2,158.650000,-121.850000,Top,0.000000
