Designator,Mid X,Mid Y,Layer,Rotation
C1,70.0000,-34.0000,Top,0.0000
C2,96.0000,-34.0000,Top,0.0000
C3,47.0000,-92.0000,Top,90.0000
C4,54.0000,-92.0000,Top,90.0000
C5,20.0000,-108.0000,Top,90.0000
C6,27.0000,-108.0000,Top,90.0000
C7,34.0000,-108.0000,Top,90.0000
C8,41.0000,-108.0000,Top,90.0000
C9,48.0000,-108.0000,Top,90.0000
C10,55.0000,-108.0000,Top,90.0000
C11,20.0000,-122.0000,Top,90.0000
C12,27.0000,-122.0000,Top,90.0000
C13,34.0000,-122.0000,Top,90.0000
C14,41.0000,-122.0000,Top,90.0000
C15,48.0000,-122.0000,Top,90.0000
C16,55.0000,-122.0000,Top,90.0000
C17,84.0000,-58.0000,Top,90.0000
C18,91.0000,-58.0000,Top,90.0000
C19,98.0000,-58.0000,Top,90.0000
C20,105.0000,-58.0000,Top,90.0000
C21,112.0000,-58.0000,Top,90.0000
C22,116.0000,-66.0000,Top,0.0000
C23,116.0000,-75.0000,Top,0.0000
C24,116.0000,-84.0000,Top,0.0000
C25,61.0000,-92.0000,Top,90.0000
C26,68.0000,-92.0000,Top,90.0000
D1,40.0000,-34.0000,Top,0.0000
D2,150.0000,-38.0000,Top,90.0000
D3,176.0000,-38.0000,Top,90.0000
D4,150.0000,-56.0000,Top,90.0000
D5,176.0000,-56.0000,Top,90.0000
D10,124.0000,-140.0000,Top,90.0000
D11,131.0000,-140.0000,Top,90.0000
D12,138.0000,-140.0000,Top,90.0000
D13,145.0000,-140.0000,Top,90.0000
D14,152.0000,-140.0000,Top,90.0000
D15,159.0000,-140.0000,Top,90.0000
D16,166.0000,-140.0000,Top,90.0000
D17,173.0000,-140.0000,Top,90.0000
D18,180.0000,-140.0000,Top,90.0000
D19,187.0000,-140.0000,Top,90.0000
D20,124.0000,-152.0000,Top,90.0000
D21,131.0000,-152.0000,Top,90.0000
D22,138.0000,-152.0000,Top,90.0000
D23,145.0000,-152.0000,Top,90.0000
D24,152.0000,-152.0000,Top,90.0000
D25,159.0000,-152.0000,Top,90.0000
D26,166.0000,-152.0000,Top,90.0000
D27,173.0000,-152.0000,Top,90.0000
D28,180.0000,-152.0000,Top,90.0000
D29,187.0000,-152.0000,Top,90.0000
F1,56.0000,-34.0000,Top,0.0000
J1,40.0000,-21.0000,Top,180.0000
J2,112.0000,-22.2000,Top,90.0000
J3,135.0000,-22.2000,Top,90.0000
J4,158.0000,-22.2000,Top,90.0000
J5,181.0000,-22.2000,Top,90.0000
J6,182.0000,-157.8000,Top,270.0000
K1,138.0000,-36.0000,Top,90.0000
K2,164.0000,-36.0000,Top,90.0000
K3,138.0000,-54.0000,Top,90.0000
K4,164.0000,-54.0000,Top,90.0000
Q1,190.0000,-40.0000,Top,0.0000
Q2,190.0000,-53.0000,Top,0.0000
Q3,190.0000,-66.0000,Top,0.0000
Q4,190.0000,-79.0000,Top,0.0000
R1,20.0000,-60.0000,Top,90.0000
R2,27.0000,-60.0000,Top,90.0000
R3,34.0000,-60.0000,Top,90.0000
R4,20.0000,-74.0000,Top,90.0000
R5,27.0000,-74.0000,Top,90.0000
R6,34.0000,-74.0000,Top,90.0000
R7,20.0000,-88.0000,Top,90.0000
R8,27.0000,-88.0000,Top,90.0000
R9,34.0000,-88.0000,Top,90.0000
R10,20.0000,-102.0000,Top,90.0000
R11,27.0000,-102.0000,Top,90.0000
R12,34.0000,-102.0000,Top,90.0000
R13,84.0000,-74.0000,Top,90.0000
R14,91.0000,-74.0000,Top,90.0000
R15,98.0000,-74.0000,Top,90.0000
R16,105.0000,-74.0000,Top,90.0000
R17,84.0000,-90.0000,Top,90.0000
R18,91.0000,-90.0000,Top,90.0000
R19,98.0000,-90.0000,Top,90.0000
R20,105.0000,-90.0000,Top,90.0000
R21,124.0000,-96.0000,Top,90.0000
R22,131.0000,-96.0000,Top,90.0000
R23,138.0000,-96.0000,Top,90.0000
R24,145.0000,-96.0000,Top,90.0000
R25,152.0000,-96.0000,Top,90.0000
R26,159.0000,-96.0000,Top,90.0000
R27,124.0000,-110.0000,Top,90.0000
R28,131.0000,-110.0000,Top,90.0000
R29,138.0000,-110.0000,Top,90.0000
R30,145.0000,-110.0000,Top,90.0000
R31,152.0000,-110.0000,Top,90.0000
R32,159.0000,-110.0000,Top,90.0000
R33,124.0000,-124.0000,Top,90.0000
R34,131.0000,-124.0000,Top,90.0000
R35,138.0000,-124.0000,Top,90.0000
R36,145.0000,-124.0000,Top,90.0000
R37,152.0000,-124.0000,Top,90.0000
R38,40.0000,-92.0000,Top,90.0000
RV1,30.0000,-162.5000,Top,270.0000
RV2,45.0000,-162.5000,Top,270.0000
RV3,60.0000,-162.5000,Top,270.0000
RV4,75.0000,-162.5000,Top,270.0000
RV5,90.0000,-162.5000,Top,270.0000
SW2,124.0000,-165.0000,Top,0.0000
SW3,138.0000,-165.0000,Top,0.0000
SW4,152.0000,-165.0000,Top,0.0000
SW5,166.0000,-165.0000,Top,0.0000
U1,44.0000,-38.0000,Top,90.0000
U2,98.0000,-42.0000,Top,90.0000
U3,44.0000,-64.0000,Top,90.0000
U4,148.0000,-76.0000,Top,180.0000
