 5.00000000e+00 -5.07029583e+01  5.00000000e+00 -2.66412678e+01  5.00000000e+00 -3.78631658e+01 
 5.39897507e+00 -4.86463548e+01  5.39897507e+00 -2.59917960e+01  5.39897507e+00 -3.66100675e+01 
 5.82978636e+00 -4.66026146e+01  5.82978636e+00 -2.53451171e+01  5.82978636e+00 -3.53665477e+01 
 6.29497425e+00 -4.45735847e+01  6.29497425e+00 -2.47016645e+01  6.29497425e+00 -3.41342373e+01 
 6.79728181e+00 -4.25617523e+01  6.79728181e+00 -2.40619330e+01  6.79728181e+00 -3.29149208e+01 
 7.33967100e+00 -4.05702654e+01  7.33967100e+00 -2.34264861e+01  7.33967100e+00 -3.17105384e+01 
 7.92534015e+00 -3.86029316e+01  7.92534015e+00 -2.27959629e+01  7.92534015e+00 -3.05231839e+01 
 8.55774278e+00 -3.66641862e+01  8.55774278e+00 -2.21710848e+01  8.55774278e+00 -2.93550976e+01 
 9.24060799e+00 -3.47590289e+01  9.24060799e+00 -2.15526620e+01  9.24060799e+00 -2.82086531e+01 
 9.97796243e+00 -3.28929253e+01  9.97796243e+00 -2.09415994e+01  9.97796243e+00 -2.70863361e+01 
 1.07741541e+01 -3.10716761e+01  1.07741541e+01 -2.03388997e+01  1.07741541e+01 -2.59907162e+01 
 1.16338779e+01 -2.93012567e+01  1.16338779e+01 -1.97456659e+01  1.16338779e+01 -2.49244097e+01 
 1.25622033e+01 -2.75876361e+01  1.25622033e+01 -1.91630998e+01  1.25622033e+01 -2.38900352e+01 
 1.35646045e+01 -2.59365834e+01  1.35646045e+01 -1.85924964e+01  1.35646045e+01 -2.28901625e+01 
 1.46469923e+01 -2.43534758e+01  1.46469923e+01 -1.80352345e+01  1.46469923e+01 -2.19272575e+01 
 1.58157493e+01 -2.28431176e+01  1.58157493e+01 -1.74927602e+01  1.58157493e+01 -2.10036238e+01 
 1.70777672e+01 -2.14095842e+01  1.70777672e+01 -1.69665652e+01  1.70777672e+01 -2.01213463e+01 
 1.84404879e+01 -2.00560993e+01  1.84404879e+01 -1.64581579e+01  1.84404879e+01 -1.92822372e+01 
 1.99119469e+01 -1.87849515e+01  1.99119469e+01 -1.59690277e+01  1.99119469e+01 -1.84877884e+01 
 2.15008209e+01 -1.75974536e+01  2.15008209e+01 -1.55006043e+01  2.15008209e+01 -1.77391319e+01 
 2.32164793e+01 -1.64939425e+01  2.32164793e+01 -1.50542128e+01  2.32164793e+01 -1.70370096e+01 
 2.50690385e+01 -1.54738170e+01  2.50690385e+01 -1.46310264e+01  2.50690385e+01 -1.63817540e+01 
 2.70694228e+01 -1.45356051e+01  2.70694228e+01 -1.42320221e+01  2.70694228e+01 -1.57732800e+01 
 2.92294278e+01 -1.36770553e+01  2.92294278e+01 -1.38579393e+01  2.92294278e+01 -1.52110873e+01 
 3.15617904e+01 -1.28952426e+01  3.15617904e+01 -1.35092477e+01  3.15617904e+01 -1.46942752e+01 
 3.40802639e+01 -1.21866837e+01  3.40802639e+01 -1.31861261e+01  3.40802639e+01 -1.42215670e+01 
 3.67996991e+01 -1.15474549e+01  3.67996991e+01 -1.28884540e+01  3.67996991e+01 -1.37913462e+01 
 3.97361316e+01 -1.09733090e+01  3.97361316e+01 -1.26158171e+01  3.97361316e+01 -1.34016997e+01 
 4.29068767e+01 -1.04597858e+01  4.29068767e+01 -1.23675263e+01  4.29068767e+01 -1.30504702e+01 
 4.63306316e+01 -1.00023155e+01  4.63306316e+01 -1.21426482e+01  4.63306316e+01 -1.27353117e+01 
 5.00275850e+01 -9.59631202e+00  5.00275850e+01 -1.19400444e+01  5.00275850e+01 -1.24537483e+01 
 5.40195368e+01 -9.23725340e+00  5.40195368e+01 -1.17584158e+01  5.40195368e+01 -1.22032321e+01 
 5.83300265e+01 -8.92075080e+00  5.83300265e+01 -1.15963494e+01  5.83300265e+01 -1.19811971e+01 
 6.29844718e+01 -8.64260330e+00  6.29844718e+01 -1.14523641e+01  6.29844718e+01 -1.17851086e+01 
 6.80103186e+01 -8.39883990e+00  6.80103186e+01 -1.13249523e+01  6.80103186e+01 -1.16125047e+01 
 7.34372029e+01 -8.18574893e+00  7.34372029e+01 -1.12126165e+01  7.34372029e+01 -1.14610298e+01 
 7.92971256e+01 -7.99989612e+00  7.92971256e+01 -1.11138998e+01  7.92971256e+01 -1.13284606e+01 
 8.56246408e+01 -7.83813263e+00  8.56246408e+01 -1.10274089e+01  8.56246408e+01 -1.12127233e+01 
 9.24570603e+01 -7.69759479e+00  9.24570603e+01 -1.09518313e+01  9.24570603e+01 -1.11119037e+01 
 9.98346727e+01 -7.57569720e+00  9.98346727e+01 -1.08859465e+01  9.98346727e+01 -1.10242519e+01 
 1.07800982e+02 -7.47012076e+00  1.07800982e+02 -1.08286322e+01  1.07800982e+02 -1.09481812e+01 
 1.16402963e+02 -7.37879721e+00  1.16402963e+02 -1.07788659e+01  1.16402963e+02 -1.08822633e+01 
 1.25691339e+02 -7.29989127e+00  1.25691339e+02 -1.07357241e+01  1.25691339e+02 -1.08252206e+01 
 1.35720881e+02 -7.23178172e+00  1.35720881e+02 -1.06983783e+01  1.35720881e+02 -1.07759169e+01 
 1.46550730e+02 -7.17304202e+00  1.46550730e+02 -1.06660904e+01  1.46550730e+02 -1.07333467e+01 
 1.58244748e+02 -7.12242124e+00  1.58244748e+02 -1.06382057e+01  1.58244748e+02 -1.06966237e+01 
 1.70871890e+02 -7.07882574e+00  1.70871890e+02 -1.06141464e+01  1.70871890e+02 -1.06649699e+01 
 1.84506615e+02 -7.04130184e+00  1.84506615e+02 -1.05934050e+01  1.84506615e+02 -1.06377041e+01 
 1.99229323e+02 -7.00901986e+00  1.99229323e+02 -1.05755366e+01  1.99229323e+02 -1.06142322e+01 
 2.15126829e+02 -6.98125935e+00  2.15126829e+02 -1.05601526e+01  2.15126829e+02 -1.05940366e+01 
 2.32292878e+02 -6.95739582e+00  2.32292878e+02 -1.05469149e+01  2.32292878e+02 -1.05766677e+01 
 2.50828691e+02 -6.93688875e+00  2.50828691e+02 -1.05355290e+01  2.50828691e+02 -1.05617357e+01 
 2.70843570e+02 -6.91927088e+00  2.70843570e+02 -1.05257400e+01  2.70843570e+02 -1.05489029e+01 
 2.92455537e+02 -6.90413873e+00  2.92455537e+02 -1.05173267e+01  2.92455537e+02 -1.05378773e+01 
 3.15792030e+02 -6.89114426e+00  3.15792030e+02 -1.05100979e+01  3.15792030e+02 -1.05284068e+01 
 3.40990660e+02 -6.87998742e+00  3.40990660e+02 -1.05038884e+01  3.40990660e+02 -1.05202737e+01 
 3.68200014e+02 -6.87040980e+00  3.68200014e+02 -1.04985556e+01  3.68200014e+02 -1.05132906e+01 
 3.97580540e+02 -6.86218892e+00  3.97580540e+02 -1.04939767e+01  3.97580540e+02 -1.05072956e+01 
 4.29305484e+02 -6.85513339e+00  4.29305484e+02 -1.04900457e+01  4.29305484e+02 -1.05021497e+01 
 4.63561921e+02 -6.84907859e+00  4.63561921e+02 -1.04866713e+01  4.63561921e+02 -1.04977332e+01 
 5.00551851e+02 -6.84388301e+00  5.00551851e+02 -1.04837752e+01  5.00551851e+02 -1.04939430e+01 
 5.40493393e+02 -6.83942504e+00  5.40493393e+02 -1.04812897e+01  5.40493393e+02 -1.04906906e+01 
 5.83622071e+02 -6.83560019e+00  5.83622071e+02 -1.04791569e+01  5.83622071e+02 -1.04878999e+01 
 6.30192203e+02 -6.83231872e+00  6.30192203e+02 -1.04773268e+01  6.30192203e+02 -1.04855055e+01 
 6.80478399e+02 -6.82950355e+00  6.80478399e+02 -1.04757566e+01  6.80478399e+02 -1.04834512e+01 
 7.34777182e+02 -6.82708853e+00  7.34777182e+02 -1.04744095e+01  7.34777182e+02 -1.04816888e+01 
 7.93408737e+02 -6.82501684e+00  7.93408737e+02 -1.04732537e+01  7.93408737e+02 -1.04801770e+01 
 8.56718799e+02 -6.82323973e+00  8.56718799e+02 -1.04722622e+01  8.56718799e+02 -1.04788800e+01 
 9.25080687e+02 -6.82171534e+00  9.25080687e+02 -1.04714117e+01  9.25080687e+02 -1.04777675e+01 
 9.98897514e+02 -6.82040776e+00  9.98897514e+02 -1.04706821e+01  9.98897514e+02 -1.04768131e+01 
 1.07860456e+03 -6.81928619e+00  1.07860456e+03 -1.04700562e+01  1.07860456e+03 -1.04759945e+01 
 1.16467182e+03 -6.81832417e+00  1.16467182e+03 -1.04695194e+01  1.16467182e+03 -1.04752924e+01 
 1.25760683e+03 -6.81749902e+00  1.25760683e+03 -1.04690589e+01  1.25760683e+03 -1.04746901e+01 
 1.35795758e+03 -6.81679128e+00  1.35795758e+03 -1.04686639e+01  1.35795758e+03 -1.04741735e+01 
